order_id,user_id,product_name,quantity,price,order_date
1,8,Sunflower Seeds,12,98,2024-10-03
2,21,Sliced Olives,14,50,2024-09-15
3,15,Steak Seasoning Rub,9,84,2024-11-24
4,15,Travel Mug,2,96,2025-07-29
5,17,Silicone Baking Mat Set,13,92,2024-11-11
6,4,Pork Chops,8,25,2024-11-15
7,22,Tofu,8,57,2025-07-19
8,12,Vegan Chocolate Cake Mix,8,89,2024-10-01
9,10,Pet Water Fountain,15,58,2025-03-29
10,12,Lentil Soup,10,55,2024-10-11
11,20,Pesto Pasta Salad,13,26,2025-04-05
12,4,Organic Lentil Soup,1,55,2025-07-06
13,22,Honey Sriracha Chicken Bites,10,51,2025-05-22
14,24,Cheddar & Bacon Potato Skins,1,58,2025-05-02
15,18,Apple Cinnamon Granola,14,22,2024-11-09
16,6,Sweet Potatoes (organic),3,97,2024-10-08
17,10,Aeropress Coffee Maker,4,92,2024-12-20
18,6,Insulated Coffee Mug,6,20,2025-07-20
19,6,Kitchen Scale,4,23,2024-12-17
20,24,Portable Air Compressor,15,98,2024-08-27
21,12,Chic Ankle Strap Heels,14,100,2024-11-09
22,19,Honey Sesame Chicken Mix,13,57,2024-08-05
23,4,Car Phone Mount,15,97,2024-08-03
24,3,Roasted Red Pepper Dip,7,28,2024-10-11
25,11,Pretzel Bites,4,82,2024-08-02
26,6,Almond Butter Cups,14,62,2025-02-09
27,4,Portable Water Filter,2,87,2024-08-11
28,15,Basil Pesto Pasta,7,88,2024-11-27
29,21,Snack Container Set,6,93,2025-04-27
30,5,Vegetable Stock,6,79,2025-05-15
31,20,Beef Stew Meat,12,35,2025-02-15
32,6,Laptop Backpack,7,53,2024-11-30
33,17,Multi-Purpose Plant Care Tool,9,26,2025-02-04
34,12,Chocolate Avocado Pudding,6,53,2025-02-03
35,9,Pet Bed,13,38,2025-07-10
36,18,Casual Long Cardigan,10,69,2024-09-13
37,2,Weighted Blanket,6,26,2024-11-15
38,10,Personal Blender,3,81,2025-01-10
